,total read latency (ms),total write latency (ms),total read power cost ($),total write power cost ($),total idle power cost ($),total purchase cost ($),total power cost ($),avg latency (ms),avg throughput (KB/s),purchase + energy cost ($),duration (s),cache size 1,cache size 2,cache size 3
1884318,6442.848675985,5099.21151762,8.911236990322939e-08,4.890538324466964e-08,4.2945795496484043e-07,2.28019422232,5.674757081127394e-07,0.0006247118634992213,819.577840465708,2.280194789795708,11542.060193605,426185.0,625530.0,0.0
3936268,311383.023442164,204628.4631416761,6.977736058892075e-05,2.8387357852849517e-05,0.005216317609727786,50.107666197503995,0.005314482328169556,0.01017828098231007,50.30318979107179,50.112980679832155,516011.48658384,10069290.0,13375624.0,6762956.0
3427678,164041.25320216402,1159780.6163575002,4.881780997646403e-05,0.00032284362747414454,0.019575142598674503,74.22152712123734,0.019946804036125115,0.026112269414987208,19.6076408320962,74.24147392527347,1323821.8695596643,15028792.0,10069290.0,13375624.0
855571,1379.7076114033994,27895.9457642788,1.3149462062940397e-08,2.4186200115584176e-07,1.7527201357660834e-05,1.955719174656,1.7782212820879616e-05,0.0015845392996315182,323.1223107682244,1.9557369568688203,29275.653375682203,611782.0,536168.0,158101.0
1092447,378.1118384034,2612.8714975273997,2.8492199730066e-09,6.535329160172404e-09,2.9038361562995356e-07,0.33765252326399997,2.997681647631327e-07,0.00016188641734165546,3162.7112910865308,0.3376528230321648,2990.983335930801,82487.0,536168.0,158101.0
74970,4632.2031089702,20708.4587494996,4.011477342623815e-08,1.9650187707910853e-07,5.8457347991396e-07,0.094311045888,8.211901304193069e-07,0.0013715586148718428,373.2979359747165,0.09431186707813044,25340.6618584698,6873.0,536168.0,460555.0
928658,13434.888410985,70132.7664605,1.5016233253406206e-07,6.937421366936828e-07,4.953715361414267e-06,3.6280262085333335,5.797619830642013e-06,0.0045230837933032345,113.19710697335621,3.6280320061531635,83567.654871485,687396.0,309328.0,460555.0
2454534,6321.739265999499,19909.591296021,8.940016231904224e-08,2.7981601210551173e-07,1.5700753091639107e-05,5.11296540184,1.6069969266063666e-05,0.0014197658929679905,360.6228340432061,5.112981471809267,26231.3305620205,598034.0,426185.0,0.0
3218945,5766.536648124,98021.09984760001,1.356206402572612e-06,2.295470403053769e-05,0.0012456328467847946,106.941991621072,0.0012699437572179044,0.0020472019600511365,250.0974549610195,106.94326156482923,103787.636495724,11722457.0,8416123.0,8416123.0
2337211,561.0277505545,13195.020680338495,5.536554244144961e-09,1.2453201376853948e-07,1.681363870788065e-06,0.631531690496,1.8114324388007488e-06,0.000744543565490159,687.6696324182622,0.6315335019284388,13756.048430892995,116857.0,598034.0,0.0
